order_id,restaurant_id,order_date,revenue,delivery_time,customer_rating
6001,1001,2024-03-06,61.05,28,4.2
6002,1001,2024-04-15,192.33,40,3.1
6003,1001,2024-05-16,88.39,23,2.8
6004,1001,2024-02-02,40.78,27,4.5
6005,1001,2024-06-20,64.51,22,3.6
6006,1001,2024-01-17,74.95,31,3.6
6007,1001,2024-04-11,72.06,51,3.3
6008,1001,2024-02-18,181.38,36,3.8
6009,1001,2024-03-23,92.0,35,4.9
6010,1001,2024-06-18,88.32,59,4.7
6011,1001,2024-05-18,161.55,60,4.2
6012,1001,2024-05-28,129.41,35,2.9
6013,1001,2024-03-01,118.68,47,3.6
6014,1001,2024-03-17,59.23,49,4.2
6015,1001,2024-03-07,137.1,29,3.2
6016,1001,2024-01-23,176.94,48,4.9
6017,1001,2024-02-23,185.93,58,4.2
6018,1001,2024-04-18,175.1,49,3.4
6019,1001,2024-04-15,191.96,28,4.6
6020,1001,2024-01-02,54.09,51,3.1
6021,1001,2024-03-26,123.67,24,2.7
6022,1001,2024-06-26,130.68,29,3.2
6023,1001,2024-04-04,99.53,60,4.5
6024,1001,2024-06-28,109.75,50,2.6
6025,1001,2024-01-18,74.66,36,4.4
6026,1001,2024-03-21,173.3,25,4.1
6027,1001,2024-05-21,137.88,28,3.0
6028,1001,2024-03-11,141.67,58,3.9
6029,1001,2024-02-01,120.71,41,4.2
6030,1001,2024-04-22,85.12,32,2.7
6031,1001,2024-01-15,190.99,51,4.5
6032,1001,2024-02-20,198.24,51,4.6
6033,1001,2024-04-18,179.8,45,3.9
6034,1001,2024-05-13,182.35,49,3.9
6035,1001,2024-02-02,162.61,44,3.1
6036,1001,2024-01-14,120.83,40,4.4
6037,1001,2024-02-26,139.94,22,2.5
6038,1001,2024-03-09,67.53,44,4.5
6039,1001,2024-06-15,105.63,20,3.2
6040,1001,2024-03-08,175.93,29,2.9
6041,1001,2024-02-12,72.96,47,4.6
6042,1001,2024-04-21,151.34,21,4.4
6043,1001,2024-04-13,72.96,44,3.2
6044,1001,2024-02-11,109.2,55,4.6
6045,1001,2024-04-18,99.2,53,2.5
6046,1001,2024-02-22,63.27,32,4.6
6047,1001,2024-04-30,92.43,49,3.8
6048,1001,2024-04-28,106.93,48,3.6
6049,1001,2024-03-31,121.78,27,3.0
6050,1001,2024-06-23,138.07,29,4.0
6051,1001,2024-05-10,91.47,41,2.9
6052,1001,2024-04-19,198.9,53,4.2
6053,1001,2024-06-15,66.94,55,3.8
6054,1001,2024-06-25,148.52,46,5.0
6055,1001,2024-06-29,49.36,33,4.0
6056,1001,2024-03-23,76.2,38,2.6
6057,1001,2024-03-09,180.0,25,3.5
6058,1001,2024-06-17,61.39,43,4.3
6059,1001,2024-01-15,163.95,52,4.7
6060,1001,2024-01-19,197.78,51,4.6
6061,1001,2024-05-09,98.13,51,3.7
6062,1001,2024-06-21,55.37,55,3.8
6063,1001,2024-04-26,160.34,47,2.6
6064,1001,2024-01-27,161.16,20,4.2
6065,1001,2024-03-31,197.0,42,3.9
6066,1001,2024-03-01,190.84,59,5.0
6067,1001,2024-03-24,52.68,52,2.7
6068,1001,2024-01-07,185.74,56,3.6
6069,1001,2024-01-22,119.46,22,3.9
6070,1001,2024-06-11,98.71,32,4.3
6071,1001,2024-04-13,96.29,42,4.0
6072,1001,2024-04-25,67.08,40,2.6
6073,1001,2024-01-09,182.75,53,2.6
6074,1001,2024-04-12,46.18,58,3.3
6075,1001,2024-06-23,110.63,20,2.8
6076,1001,2024-02-16,170.33,37,4.7
6077,1001,2024-05-22,135.02,35,3.2
6078,1001,2024-02-14,55.84,38,3.7
6079,1001,2024-03-30,141.23,40,4.3
6080,1001,2024-03-22,45.89,60,2.9
6081,1001,2024-05-11,177.71,38,3.9
6082,1001,2024-05-28,196.76,59,3.8
6083,1001,2024-01-24,45.11,46,4.1
6084,1001,2024-06-04,167.59,21,2.8
6085,1001,2024-02-26,118.8,54,3.5
6086,1001,2024-01-18,137.82,26,4.9
6087,1001,2024-06-27,122.33,56,3.3
6088,1001,2024-06-08,114.95,40,2.9
6089,1001,2024-05-05,193.55,26,2.9
6090,1001,2024-06-21,193.38,20,3.2
6091,1001,2024-03-14,32.87,31,3.7
6092,1001,2024-04-07,47.9,53,2.8
6093,1001,2024-03-20,80.56,33,4.1
6094,1001,2024-02-21,34.12,23,2.6
6095,1001,2024-01-09,97.96,59,4.0
6096,1001,2024-01-22,176.4,34,4.0
6097,1001,2024-03-07,46.99,37,4.8
6098,1001,2024-01-14,96.39,33,2.8
6099,1001,2024-04-29,168.13,51,3.0
6100,1001,2024-01-13,152.54,26,3.5
6101,1001,2024-04-07,42.68,59,4.3
6102,1001,2024-01-20,83.28,42,3.0
6103,1001,2024-01-10,118.27,46,4.7
6104,1001,2024-04-29,72.67,35,2.7
6105,1001,2024-05-27,79.57,29,4.5
6106,1001,2024-06-25,63.88,47,2.8
6107,1001,2024-01-27,133.29,32,4.9
6108,1001,2024-01-20,151.82,41,3.2
6109,1002,2024-03-16,73.09,28,3.6
6110,1002,2024-02-11,139.57,46,3.0
6111,1002,2024-05-02,136.42,46,5.0
6112,1002,2024-03-09,85.55,56,3.5
6113,1002,2024-02-11,172.6,47,3.0
6114,1002,2024-04-04,174.77,33,3.3
6115,1002,2024-02-02,149.48,30,3.6
6116,1002,2024-04-27,74.5,53,4.6
6117,1002,2024-05-04,102.36,46,4.8
6118,1002,2024-01-12,187.62,56,4.4
6119,1002,2024-03-22,178.97,42,4.3
6120,1002,2024-06-09,127.44,60,4.7
6121,1002,2024-03-22,75.32,56,3.3
6122,1002,2024-01-18,107.01,47,3.2
6123,1002,2024-03-17,157.74,35,3.0
6124,1002,2024-03-02,124.05,54,4.7
6125,1002,2024-05-19,166.97,46,2.7
6126,1002,2024-01-15,141.81,40,4.1
